"simid","pid","position","is_rita","time_infected","time_diagnosed","time_sequenced","IT_growth","IT_rita","delay_from_infection_growth","delay_from_infection_rita","diff_from_infection","delay_from_diagnosis_growth","delay_from_diagnosis_rita","diff_from_diagnosis","delay_from_sequencing_growth","time_saved_by_rita"
"7397","0.2.1",4,FALSE,656.562310413865,2661.73413041078,2666.24383665998,2695.95343015861,2675.73413041078,2039.39111974474,2019.17181999692,20.2192997478251,34.2192997478251,14,20.2192997478251,29.7095934986337,NA
"7397","0.2.4.2",5,FALSE,1328.27375198837,2656.62624301982,2667.95343015861,2695.95343015861,2670.62624301982,1367.67967817024,1342.35249103145,25.3271871387915,39.3271871387915,14,25.3271871387915,28,NA
"8314","0.1.3.1",1,FALSE,1433.1774544064,2552.11219634774,2557.4401931201,2747.04577339136,2566.11219634774,1313.86831898496,1132.93474194134,180.933577043623,194.933577043623,14,180.933577043623,189.605580271258,NA
"8314","0.1.2.2.1.2",2,FALSE,1927.6986669366,2581.31617626064,2601.01661786714,2747.04577339136,2595.31617626064,819.347106454766,667.617509324039,151.729597130727,165.729597130727,14,151.729597130727,146.029155524217,NA
"8314","0.1.3.1.1.2",3,TRUE,2536.40747176862,2640.30252616289,2644.88395797048,2747.04577339136,2654.30252616289,210.63830162274,117.895054394269,92.7432472284704,106.74324722847,14,92.7432472284704,102.161815420882,92.7432472284704
"8314","0.1.2.1",4,FALSE,1060.09493239116,2696.91114062437,2713.29222531145,2747.04577339136,2710.91114062437,1686.9508410002,1650.81620823321,36.134632766988,50.134632766988,14,36.134632766988,33.7535480799138,NA
"8314","0.1.3.1.1",5,FALSE,1768.40098045659,2711.19020968516,2719.04577339136,2747.04577339136,2725.19020968516,978.644792934774,956.789229228576,21.8555637061972,35.8555637061972,14,21.8555637061972,28,NA
"9028","0.1.1.1",1,FALSE,2190.16686921358,4235.78685137639,4248.96311857244,4438.80800574263,4249.78685137639,2248.64113652905,2059.61998216281,189.021154366234,203.021154366234,14,189.021154366234,189.844887170193,NA
"9028","0.2.1.5.1.1",2,FALSE,3772.10558174793,4323.52129817297,4352.72082767142,4438.80800574263,4337.52129817297,666.702423994703,565.415716425047,101.286707569656,115.286707569656,14,101.286707569656,86.0871780712114,NA
"9028","0.1.1.1.2",3,FALSE,3652.9224911163,4374.61033681831,4378.86387503059,4438.80800574263,4388.61033681831,785.885514626327,735.687845702008,50.1976689243184,64.1976689243184,14,50.1976689243184,59.9441307120387,NA
"9028","0.2.1.5.5",4,FALSE,4199.68116034253,4393.94445722269,4398.22899232506,4438.80800574263,4407.94445722269,239.126845400103,208.263296880164,30.8635485199384,44.8635485199384,14,30.8635485199384,40.5790134175704,NA
"9028","0.2.1.3",5,FALSE,3512.97473604835,4403.75695974341,4410.80800574263,4438.80800574263,4417.75695974341,925.833269694282,904.782223695061,21.0510459992202,35.0510459992202,14,21.0510459992202,28,NA
