"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"5908",0,1325.41647377108,1253.19005627167,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"5911",0,4017.72163554324,2233.38325307886,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"5942",0,448.007537145026,779.483020884814,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"5946",0,1835.65616405046,2489.07017977575,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"5953",0,228.455502008833,779.919740515642,2,44,42,44,44,"Growth,size=2,W=6mo,D=0.01"
"5960",0,557.72801654657,3239.82813155071,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"5983",0,401.107008153703,956.642112579863,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"5992",0,1710.27824746512,1422.21150370744,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"5998",0,1478.25418059714,4381.43991170912,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"5999",0,1097.57838972997,603.535929581412,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"6000",0,759.693037766182,1056.08342038254,3,35,29,32,34,"Growth,size=2,W=6mo,D=0.01"
"6009",0,888.40693489015,2943.80310347373,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"6011",0,872.977049458453,2613.54889961828,3,15,9,12,14,"Growth,size=2,W=6mo,D=0.01"
"6014",0,2271.07910714472,592.486986706939,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
"6026",0,2885.37026132163,970.219230969729,2,30,28,30,30,"Growth,size=2,W=6mo,D=0.01"
"6027",0,0,1918.23809347687,2,32,30,32,32,"Growth,size=2,W=6mo,D=0.01"
"6029",0,2293.75721842434,853.904506861325,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"6038",0,1359.82872632073,1923.7824710565,2,50,48,50,50,"Growth,size=2,W=6mo,D=0.01"
"6041",0,3103.20793156065,1995.23214002631,2,69,67,69,69,"Growth,size=2,W=6mo,D=0.01"
"6042",0,4631.11336389056,832.347178851959,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"6066",0,2511.73881044274,1358.59292098338,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"6092",1,3817.08405303122,4571.87880860526,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"6113",0,284.751738228966,5249.6728140822,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"6117",0,2763.32347968924,3334.2434791349,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"6123",0,696.969343305267,2639.52750516997,2,4,3,5,4,"Growth,size=2,W=6mo,D=0.01"
"6140",0,0,2568.88507466268,2,31,29,31,31,"Growth,size=2,W=6mo,D=0.01"
"6142",0,2989.9644923821,1399.46656657573,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"6154",0,1659.01547502928,1603.87565916433,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"6183",0,0,3154.17541989326,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"6198",0,2102.68115950802,2027.22539447047,2,32,30,32,32,"Growth,size=2,W=6mo,D=0.01"
"6200",0,2051.24954826674,1178.83268945221,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"6205",0,2539.68179755348,3120.25816549932,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"6219",0,2144.60735696897,1984.631380284,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"6243",0,2632.80204300458,1093.72049904814,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"6246",1,4129.20653922361,3748.50590697513,2,31,29,31,31,"Growth,size=2,W=6mo,D=0.01"
"6256",0,3175.84504177191,2660.91723283943,2,6,5,7,6,"Growth,size=2,W=6mo,D=0.01"
"6258",0,1033.1573080076,666.90524760994,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"6273",0,0,896.863407733015,2,7,5,7,7,"Growth,size=2,W=6mo,D=0.01"
"6292",0,515.526408851466,1745.77483052644,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"6296",0,1616.97647246901,1896.19643721741,2,106,104,106,106,"Growth,size=2,W=6mo,D=0.01"
"6303",1,2833.53174042323,693.799085257614,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"6314",0,550.420072999921,1479.52954112136,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"6325",0,1689.33387726217,2655.6584100785,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"6328",0,489.722810245308,2374.50544545273,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"6338",0,1106.78547276142,1177.51893824455,2,6,4,6,6,"Growth,size=2,W=6mo,D=0.01"
"6342",0,1779.25858045991,3684.13398511258,2,4,3,5,4,"Growth,size=2,W=6mo,D=0.01"
"6354",0,693.60963486173,1222.28021496866,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"6361",0,1836.18541535251,599.312189299884,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"6377",0,1876.7478166761,1592.3468322222,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"6380",0,0,3756.32825738462,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"6396",0,6285.5605833984,2169.19434062587,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"6399",0,598.753969105569,525.867378879405,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"6405",0,490.624333096622,5727.51045297214,2,92,90,92,92,"Growth,size=2,W=6mo,D=0.01"
"6407",0,116.301737897775,670.21402121551,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"6417",0,6765.76777754241,520.144967681305,2,32,30,32,32,"Growth,size=2,W=6mo,D=0.01"
"6418",0,508.059697327932,2083.16485795062,2,67,65,67,67,"Growth,size=2,W=6mo,D=0.01"
"6426",0,0,1820.03916701062,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"6459",1,0,1091.53148307551,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"6464",0,2211.26508657023,3750.81036175247,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"6479",0,2565.387515643,1261.01865247605,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"6486",0,316.995024498659,2570.79141835469,2,5,4,6,5,"Growth,size=2,W=6mo,D=0.01"
"6499",0,5236.31026366613,912.637843462784,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"6507",0,2792.05444275033,1096.63482641293,3,22,16,19,21,"Growth,size=2,W=6mo,D=0.01"
"6513",0,1783.57313797226,1767.69099740109,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
