"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"360",0,805.917780670017,2938.869102188,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"360",2,4659.0272132683,2251.46776085492,2,NA,NA,51,34,"RITA+Secondary,W=6mo"
"369",0,1462.83007079004,55.3333449573361,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"375",0,0,1867.99688432762,1,NA,NA,21,21,"RITA+Secondary,W=6mo"
"376",0,614.554194908189,492.206175699828,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"377",2,2811.08791322486,5690.65494474128,3,NA,NA,44,23,"RITA+Secondary,W=6mo"
"384",1,842.692783585277,4730.49606459696,2,NA,NA,15,11,"RITA+Secondary,W=6mo"
"384",1,4129.27170900818,2520.05807092962,2,NA,NA,69,38,"RITA+Secondary,W=6mo"
"384",2,3767.33198740548,2432.9522818126,2,NA,NA,20,11,"RITA+Secondary,W=6mo"
"388",0,1920.96798970439,3552.59547341846,2,NA,NA,76,69,"RITA+Secondary,W=6mo"
"389",1,2335.80916940424,237.659612827398,2,NA,NA,10,10,"RITA+Secondary,W=6mo"
"389",3,165.294510892994,2408.17427133864,2,NA,NA,2,2,"RITA+Secondary,W=6mo"
"389",0,0,2552.72610768595,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"392",0,62.4001061930012,3939.71224899962,2,NA,NA,17,12,"RITA+Secondary,W=6mo"
"392",1,1230.05451873775,2687.0281396661,3,NA,NA,14,7,"RITA+Secondary,W=6mo"
"395",0,435.223210227038,1603.64835582452,1,NA,NA,134,134,"RITA+Secondary,W=6mo"
"404",0,1150.30761111838,737.421556011979,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"408",0,0,4400.09364580313,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"412",0,1475.33253161117,4628.92023659784,2,NA,NA,5,5,"RITA+Secondary,W=6mo"
"417",4,2873.39326868353,3727.39753151346,2,NA,NA,15,14,"RITA+Secondary,W=6mo"
"417",0,1805.76753515351,4261.21039827847,2,NA,NA,3,3,"RITA+Secondary,W=6mo"
"420",0,1628.41075759806,293.653389133722,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"424",4,3388.32098597708,2405.88242394545,2,NA,NA,28,18,"RITA+Secondary,W=6mo"
"424",1,874.088840130884,3508.06077662522,2,NA,NA,23,23,"RITA+Secondary,W=6mo"
"424",0,454.624730793318,3791.30733602623,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
"424",3,456.380354705972,7791.30698135579,2,NA,NA,28,17,"RITA+Secondary,W=6mo"
"424",0,2406.85751998987,4617.20123537247,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
"424",0,2792.98326965391,5673.53566859739,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
"436",0,673.712359267372,315.853674441701,2,NA,NA,6,6,"RITA+Secondary,W=6mo"
"437",0,161.209726559736,2959.28931602654,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
"441",0,445.606931508291,8828.90422508736,2,NA,NA,28,19,"RITA+Secondary,W=6mo"
"448",0,1510.11432109981,4130.80109495606,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"450",0,292.394023435674,330.981025302939,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
"451",0,0,2850.47496899244,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"451",1,2147.18705954395,756.656125064677,2,NA,NA,20,14,"RITA+Secondary,W=6mo"
"466",0,0,3178.37128805099,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"467",1,0,418.308988435385,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"469",0,2976.17381229886,1783.94255759388,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"470",0,1920.11413614294,1895.11719938332,2,NA,NA,18,15,"RITA+Secondary,W=6mo"
"474",0,2185.08617754051,487.788509183211,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
"486",0,1749.70866230664,1194.78979042022,2,NA,NA,9,8,"RITA+Secondary,W=6mo"
"487",1,2261.55583560009,273.2610317927,3,NA,NA,20,9,"RITA+Secondary,W=6mo"
"489",0,0,336.556154155718,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"493",0,1295.11067508421,1581.43494261199,2,NA,NA,26,20,"RITA+Secondary,W=6mo"
"505",0,1745.02559004422,2083.61965387392,3,NA,NA,23,16,"RITA+Secondary,W=6mo"
"509",1,3767.04473553991,3042.97839164793,2,NA,NA,11,6,"RITA+Secondary,W=6mo"
"509",0,3934.54294600039,3836.13413464182,2,NA,NA,15,14,"RITA+Secondary,W=6mo"
"509",0,1662.91437101005,3670.33049400164,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
"513",0,148.583588008147,4344.10404935783,2,NA,NA,11,11,"RITA+Secondary,W=6mo"
"514",0,0,2715.05664336734,1,NA,NA,13,13,"RITA+Secondary,W=6mo"
"514",0,0,2965.14372229563,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"514",1,1729.39046154131,2528.56891240734,2,NA,NA,27,18,"RITA+Secondary,W=6mo"
"517",2,2644.27914168133,6072.54771084005,2,NA,NA,55,49,"RITA+Secondary,W=6mo"
"520",0,203.020546707476,72.5240275188735,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"526",0,404.035455897184,2375.4336938677,2,NA,NA,5,5,"RITA+Secondary,W=6mo"
"528",1,3711.70717347297,1490.39239089193,2,NA,NA,15,11,"RITA+Secondary,W=6mo"
"528",0,956.087715319367,2459.3474972767,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"529",0,832.701814556661,257.62161988185,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"530",0,282.935601331379,150.876243249689,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"533",0,1079.39198313846,908.176923722908,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
"534",0,1570.63612589941,441.108872416421,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"543",0,1359.67585732001,464.404740752728,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"545",0,5898.01778777498,2131.23975688061,2,NA,NA,12,11,"RITA+Secondary,W=6mo"
"545",0,617.639230071677,3638.42751173657,2,NA,NA,4,4,"RITA+Secondary,W=6mo"
"545",1,5511.48010394083,1932.9815535696,3,NA,NA,24,15,"RITA+Secondary,W=6mo"
"546",0,1542.86169830766,1440.55638718796,2,NA,NA,22,20,"RITA+Secondary,W=6mo"
"546",0,0,698.891914537751,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
"548",0,0,1424.79829211665,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
"550",0,583.056144251178,2008.67519568369,3,NA,NA,34,29,"RITA+Secondary,W=6mo"
"553",0,1856.20724356373,329.917363937527,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"553",1,3625.50185322634,720.991724672398,2,NA,NA,23,15,"RITA+Secondary,W=6mo"
"554",0,0,4789.4075783324,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"555",2,4502.74071748363,1153.74069931887,3,NA,NA,16,16,"RITA+Secondary,W=6mo"
"555",0,236.194254552626,2092.8363243116,2,NA,NA,9,9,"RITA+Secondary,W=6mo"
"561",3,3664.6519922762,4784.72231791167,2,NA,NA,9,5,"RITA+Secondary,W=6mo"
"563",0,2001.24239178477,373.867301172367,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"571",2,1109.43381085494,3932.4093070236,2,NA,NA,3,3,"RITA+Secondary,W=6mo"
"575",0,2136.35687976531,621.977258764204,2,NA,NA,1,1,"RITA+Secondary,W=6mo"
"579",0,1108.68483004189,468.960745077292,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"583",0,1186.61889861147,1633.00164676334,1,NA,NA,33,33,"RITA+Secondary,W=6mo"
"584",2,2074.35226648684,5238.23929604616,2,NA,NA,19,11,"RITA+Secondary,W=6mo"
"591",0,599.820680206161,5187.60399093279,3,NA,NA,125,85,"RITA+Secondary,W=6mo"
"609",0,886.659303383851,2891.52353624836,2,NA,NA,11,11,"RITA+Secondary,W=6mo"
"609",0,2454.09538299874,4081.81896947352,2,NA,NA,18,11,"RITA+Secondary,W=6mo"
"609",0,0,4119.73737408467,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"610",0,15.7323036965977,328.161191045503,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"616",0,0,533.48323966356,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"633",0,2629.60272883764,2934.38484899712,2,NA,NA,2,2,"RITA+Secondary,W=6mo"
"633",1,7129.10405514112,1482.67673780187,3,NA,NA,19,15,"RITA+Secondary,W=6mo"
"637",0,821.136394229989,460.512097590347,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
"639",3,7063.30721803437,2294.9059684151,4,NA,NA,37,15,"RITA+Secondary,W=6mo"
"639",0,1182.29681063056,3268.40785618935,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"640",0,1495.55477553996,5564.58593202166,2,NA,NA,35,27,"RITA+Secondary,W=6mo"
"641",2,8030.50974394624,1779.15185983083,3,NA,NA,32,15,"RITA+Secondary,W=6mo"
"641",0,965.051067529976,2305.29685093772,1,NA,NA,18,18,"RITA+Secondary,W=6mo"
"641",0,0,3317.94169381852,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"644",0,2288.95306490062,748.370497509125,2,NA,NA,15,15,"RITA+Secondary,W=6mo"
"662",0,3132.07924624833,528.919735307667,2,NA,NA,14,14,"RITA+Secondary,W=6mo"
