"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"2860",1,0,683.780058900857,2,4.11084632457175,2.11084632457175,4.11084632457175,4.11084632457175,"Size=2,D=0.005"
"2862",1,0,1258.83332386369,2,4.02960921167976,2.02960921167976,4.02960921167976,4.02960921167976,"Size=2,D=0.005"
"2865",0,297.629484840641,2690.15534326179,2,5.04131846427096,3.04131846427096,5.04131846427096,5.04131846427096,"Size=2,D=0.005"
"2872",0,706.711966162547,479.681423960362,2,3.07360429411423,1.07360429411423,3.07360429411423,3.07360429411423,"Size=2,D=0.005"
"2873",1,2647.0577844031,963.455266343584,2,7.04689171195749,5.04689171195749,7.04689171195749,7.04689171195749,"Size=2,D=0.005"
"2877",0,476.183806710495,1900.62147273886,2,7.07475066552568,5.07475066552568,7.07475066552568,7.07475066552568,"Size=2,D=0.005"
"2879",0,1087.08468060734,721.907289825896,2,4.02670376697767,2.02670376697767,4.02670376697767,4.02670376697767,"Size=2,D=0.005"
"2887",0,1688.86279723485,1312.31029397646,3,8.01782704968467,2.01782704968467,5.01782704968467,7.01782704968467,"Size=2,D=0.005"
"2888",0,0,3077.06176733292,2,7.01124821276488,5.01124821276488,7.01124821276488,7.01124821276488,"Size=2,D=0.005"
"2892",1,2013.86523871431,237.407409174659,2,8.00028026658821,6.00028026658821,8.00028026658821,8.00028026658821,"Size=2,D=0.005"
"2898",0,1512.93541156739,1615.59303598933,2,4.00413283689905,2.00413283689905,4.00413283689905,4.00413283689905,"Size=2,D=0.005"
"2903",0,262.69105447573,1913.03756336805,2,3.02473418484232,1.02473418484232,3.02473418484232,3.02473418484232,"Size=2,D=0.005"
"2904",0,1391.85017112006,2175.21559368517,2,4.03411224325687,2.03411224325687,4.03411224325687,4.03411224325687,"Size=2,D=0.005"
"2909",0,1260.75552796036,2537.94299440943,2,5.01936346830913,3.01936346830913,5.01936346830913,5.01936346830913,"Size=2,D=0.005"
"2912",0,5028.1908557962,722.095688649154,2,7.13211529137514,5.13211529137514,7.13211529137514,7.13211529137514,"Size=2,D=0.005"
"2925",0,653.165418105782,2456.56067388676,2,5.00709712348443,3.00709712348443,5.00709712348443,5.00709712348443,"Size=2,D=0.005"
"2927",0,1528.30792922759,1880.20334155002,2,6.00567319514983,4.00567319514983,6.00567319514983,6.00567319514983,"Size=2,D=0.005"
"2934",0,295.299257964945,3480.31193365217,2,4.00685105011617,2.00685105011617,4.00685105011617,4.00685105011617,"Size=2,D=0.005"
"2937",0,4713.35430342225,1518.63416719776,2,5.00339452298801,3.00339452298801,5.00339452298801,5.00339452298801,"Size=2,D=0.005"
"2938",0,2242.94349968789,1863.27453029538,3,11.0192274133349,5.01922741333494,8.01922741333494,10.0192274133349,"Size=2,D=0.005"
"2941",0,704.338551229483,1883.47608027598,2,7.00059869714908,5.00059869714908,7.00059869714908,7.00059869714908,"Size=2,D=0.005"
"2942",0,427.511722076441,2401.80723025133,2,6.04995896047649,4.04995896047649,6.04995896047649,6.04995896047649,"Size=2,D=0.005"
"2946",0,3013.24885657397,1335.49137480201,2,5.00849141586139,3.00849141586139,5.00849141586139,5.00849141586139,"Size=2,D=0.005"
"2949",1,1907.9255655686,1880.57562353017,2,6.04066736243636,4.04066736243636,6.04066736243636,6.04066736243636,"Size=2,D=0.005"
"2950",0,1121.50659751228,453.689065621589,2,5.04823933897828,3.04823933897828,5.04823933897828,5.04823933897828,"Size=2,D=0.005"
"2958",0,78.590117588855,1165.84410443947,2,3.00109261927033,1.00109261927033,3.00109261927033,3.00109261927033,"Size=2,D=0.005"
"2974",0,2077.54910411071,1515.41280688198,2,4.00454622540078,2.00454622540078,4.00454622540078,4.00454622540078,"Size=2,D=0.005"
"2980",0,431.836588783935,300.761417525853,2,6.02466662502707,4.02466662502707,6.02466662502707,6.02466662502707,"Size=2,D=0.005"
"2985",0,2214.65349735449,1385.86586912435,2,5.0955218547836,3.0955218547836,5.0955218547836,5.0955218547836,"Size=2,D=0.005"
"2989",0,906.479887340288,2317.12803837479,2,3.04226343080769,1.04226343080769,3.04226343080769,3.04226343080769,"Size=2,D=0.005"
"2990",0,372.66484553576,872.071843021852,2,4.07803795781567,2.07803795781567,4.07803795781567,4.07803795781567,"Size=2,D=0.005"
"2999",1,0,1335.65689102434,2,4.00243726485787,2.00243726485787,4.00243726485787,4.00243726485787,"Size=2,D=0.005"
"3005",0,925.514970183177,3109.96877595119,2,4.00510719585456,2.00510719585456,4.00510719585456,4.00510719585456,"Size=2,D=0.005"
"3009",0,1158.19933385166,2232.39508672691,2,5.00248711787861,3.00248711787861,5.00248711787861,5.00248711787861,"Size=2,D=0.005"
"3010",0,899.672345670899,2336.30838627028,2,6.02998647162175,4.02998647162175,6.02998647162175,6.02998647162175,"Size=2,D=0.005"
"3011",0,0,1510.71645849142,2,7.00614055819534,5.00614055819534,7.00614055819534,7.00614055819534,"Size=2,D=0.005"
"3017",0,106.009714088283,1400.80093563097,2,7.01350634577402,5.01350634577402,7.01350634577402,7.01350634577402,"Size=2,D=0.005"
"3023",1,5298.46773587258,978.056610739583,2,5.04501853991285,3.04501853991285,5.04501853991285,5.04501853991285,"Size=2,D=0.005"
"3027",0,0,2218.20278772665,2,8.00052975471263,6.00052975471263,8.00052975471263,8.00052975471263,"Size=2,D=0.005"
"3029",0,256.790557118867,1459.11359174834,3,6.01904287655083,1.01903944490111,4.01903944490111,5.01904287655083,"Size=2,D=0.005"
"3030",1,3919.01088288108,705.307207541331,2,7.00558500392207,5.00558500392207,7.00558500392207,7.00558500392207,"Size=2,D=0.005"
"3033",0,0,2848.79741285536,2,5.00343333545918,3.00343333545918,5.00343333545918,5.00343333545918,"Size=2,D=0.005"
"3034",1,2885.32197264455,3083.44559966046,2,6.04788270189174,4.04788270189174,6.04788270189174,6.04788270189174,"Size=2,D=0.005"
"3036",0,1127.79811068596,3243.86748665337,2,5.00005812710113,3.00005812710113,5.00005812710113,5.00005812710113,"Size=2,D=0.005"
"3043",0,2501.22955481542,412.503720766177,2,6.00427944981523,4.00427944981523,6.00427944981523,6.00427944981523,"Size=2,D=0.005"
