"pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
0,424.198060576549,2647.62912106617,2,NA,NA,9,6,"RITA+Secondary,W=6mo"
0,424.615516125683,1141.78680881858,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,886.659303383851,2891.52353624836,2,NA,NA,11,11,"RITA+Secondary,W=6mo"
0,0,4119.73737408467,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,15.7323036965977,328.161191045503,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
1,2900.67308345998,244.834655506097,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
0,0,533.48323966356,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,2629.60272883764,2934.38484899712,2,NA,NA,2,2,"RITA+Secondary,W=6mo"
1,7129.10405514112,1482.67673780187,3,NA,NA,19,15,"RITA+Secondary,W=6mo"
0,821.136394229989,460.512097590347,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
3,4018.02406939597,2137.08247123443,2,NA,NA,15,15,"RITA+Secondary,W=6mo"
3,7063.30721803437,2294.9059684151,4,NA,NA,37,15,"RITA+Secondary,W=6mo"
0,1495.55477553996,5564.58593202166,2,NA,NA,35,27,"RITA+Secondary,W=6mo"
0,494.26457997706,1495.22911477282,1,NA,NA,13,13,"RITA+Secondary,W=6mo"
0,2288.95306490062,748.370497509125,2,NA,NA,15,15,"RITA+Secondary,W=6mo"
2,1453.16151368145,1350.35720120886,2,NA,NA,28,24,"RITA+Secondary,W=6mo"
0,1645.95376437948,1867.07680700458,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,1062.32564539232,2684.49553155169,2,NA,NA,42,39,"RITA+Secondary,W=6mo"
0,428.170998883405,707.461724992668,2,NA,NA,16,12,"RITA+Secondary,W=6mo"
0,2303.16094589684,102.230959359393,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
0,3132.07924624833,528.919735307667,2,NA,NA,14,14,"RITA+Secondary,W=6mo"
1,3043.85277609869,1793.09738666238,1,NA,NA,26,26,"RITA+Secondary,W=6mo"
0,659.661915503168,211.280937022515,2,NA,NA,18,11,"RITA+Secondary,W=6mo"
2,831.905425782702,282.086351612736,2,NA,NA,15,15,"RITA+Secondary,W=6mo"
1,1625.6909614088,2116.67333561018,3,NA,NA,39,14,"RITA+Secondary,W=6mo"
1,2617.01524419667,2564.58716514834,2,NA,NA,33,25,"RITA+Secondary,W=6mo"
0,409.357912339007,1415.61725365947,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
1,3764.05600416987,405.348014646527,3,NA,NA,33,16,"RITA+Secondary,W=6mo"
0,0,1617.64430363435,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,1439.36382741535,223.266975072878,2,NA,NA,15,8,"RITA+Secondary,W=6mo"
0,0,249.17928585919,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,1262.75665513284,2311.58006906114,2,NA,NA,27,21,"RITA+Secondary,W=6mo"
1,116.745897005776,1071.31030953882,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,1172.81941666573,2799.97735588603,1,NA,NA,19,19,"RITA+Secondary,W=6mo"
0,688.378583737697,694.237193420221,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
1,888.124409761931,1652.10587367641,2,NA,NA,29,28,"RITA+Secondary,W=6mo"
0,628.168048404126,200.674395714594,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
0,0,4178.4835755693,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
1,2275.19572604121,3454.80043832187,2,NA,NA,30,16,"RITA+Secondary,W=6mo"
