"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"568",0,0,2064.8991592991,1,3.0047608679807,3.0047608679807,4.0047608679807,4.0047608679807,"Size=2,D=0.005"
"610",0,44.1960826507557,4154.47952732153,4,6.16247862942124,0,4,4.16247862942124,"Size=2,D=0.005"
"623",0,268.270471229553,1042.99490022543,2,8.02071449383404,6.02071449383404,8.02071449383404,8.02071449383404,"Size=2,D=0.005"
"636",0,0,3301.38097586679,1,1.00346022311902,1.00346022311902,2.00346022311902,2.00346022311902,"Size=2,D=0.005"
"645",0,0,2609.52948448849,2,7.03431852868352,5.03431852868352,7.03431852868352,7.03431852868352,"Size=2,D=0.005"
"646",0,0,3574.34983551789,1,4.00153848516754,4.00153848516754,5.00153848516754,5.00153848516754,"Size=2,D=0.005"
"674",0,0,2909.56168711049,1,4.00000298445129,4.00000298445129,5.00000298445129,5.00000298445129,"Size=2,D=0.005"
"679",0,0,3448.30827276384,1,4.00002908796385,4.00002908796385,5.00002908796385,5.00002908796385,"Size=2,D=0.005"
"696",0,0,2839.66221743933,1,3.02236879300654,3.02236879300654,4.02236879300654,4.02236879300654,"Size=2,D=0.005"
"712",0,0,3186.423069333,1,4.0894830700642,4.0894830700642,5.0894830700642,5.0894830700642,"Size=2,D=0.005"
"751",0,0,1554.21078594672,2,6.01972609121816,4.01972609121816,6.01972609121816,6.01972609121816,"Size=2,D=0.005"
"756",0,0,2387.21305165394,1,3.0143708595229,3.0143708595229,4.0143708595229,4.0143708595229,"Size=2,D=0.005"
"758",0,110.522154247983,1614.11552490762,6,16.0429742772903,0,6,12.0429742772903,"Size=2,D=0.005"
"762",0,1382.05521053526,1640.58158146435,3,6.13171815065337,1.10522583982985,4.10522583982985,5.13171815065337,"Size=2,D=0.005"
"768",0,287.971874016116,1050.57451179844,2,5.05978726211885,3.05978726211885,5.05978726211885,5.05978726211885,"Size=2,D=0.005"
"774",0,313.274025843471,1478.53053661055,2,5.08984646914279,3.08984646914279,5.08984646914279,5.08984646914279,"Size=2,D=0.005"
"807",0,0,2296.89956768498,4,10.0150329069935,1.01285325936129,5.01285325936129,8.0150329069935,"Size=2,D=0.005"
"836",1,349.445092591851,995.026502469747,2,6.0706965335922,4.0706965335922,6.0706965335922,6.0706965335922,"Size=2,D=0.005"
"845",0,0,1613.85448660056,1,3.00154229821329,3.00154229821329,4.00154229821329,4.00154229821329,"Size=2,D=0.005"
"887",0,2465.83822715914,764.110143731722,2,3.00019923925298,1.00019923925298,3.00019923925298,3.00019923925298,"Size=2,D=0.005"
"890",0,0,3176.36671370075,1,3.05109716568915,3.05109716568915,4.05109716568915,4.05109716568915,"Size=2,D=0.005"
"892",1,0,1568.84112440786,2,5.03267106350947,3.03267106350947,5.03267106350947,5.03267106350947,"Size=2,D=0.005"
"893",0,2471.84947585931,1077.57657791213,1,4.00000000962075,4.00000000962075,5.00000000962075,5.00000000962075,"Size=2,D=0.005"
"895",0,269.115477996879,1655.24112758733,1,4.00363808629987,4.00363808629987,5.00363808629987,5.00363808629987,"Size=2,D=0.005"
"899",0,0,5275.88910056702,5,15.0255230951659,2.04668353376292e-07,5.00000020466835,12.0255230951659,"Size=2,D=0.005"
"923",0,0,2976.76769791759,3,8.11297411744681,2.11297411744681,5.11297411744681,7.11297411744681,"Size=2,D=0.005"
"941",0,0,1476.42627315364,1,3.00241118431189,3.00241118431189,4.00241118431189,4.00241118431189,"Size=2,D=0.005"
"948",0,0,4538.7997425863,6,16.0038098498504,0,6,12.0038098498504,"Size=2,D=0.005"
"960",0,0,3550.86405316436,1,2.07054458673492,2.07054458673492,3.07054458673492,3.07054458673492,"Size=2,D=0.005"
"981",0,5314.16093085016,679.751089378749,2,7.00974252656944,5.00974252656944,7.00974252656944,7.00974252656944,"Size=2,D=0.005"
"991",0,755.143040243138,1028.64001735852,2,7.00231244828157,5.00231244828157,7.00231244828157,7.00231244828157,"Size=2,D=0.005"
"993",0,249.503985586664,589.22620415417,1,3.00101884485338,3.00101884485338,4.00101884485338,4.00101884485338,"Size=2,D=0.005"
"994",0,0,1479.61656213984,2,5.01839056620796,3.01839056620796,5.01839056620796,5.01839056620796,"Size=2,D=0.005"
"1000",0,0,1150.10689548775,1,3.01393067161924,3.01393067161924,4.01393067161924,4.01393067161924,"Size=2,D=0.005"
"1011",0,775.011762337989,3392.27616603176,1,2.00000844280437,2.00000844280437,3.00000844280437,3.00000844280437,"Size=2,D=0.005"
"1013",0,845.50431728236,2467.11189043743,1,3.01117747264801,3.01117747264801,4.01117747264801,4.01117747264801,"Size=2,D=0.005"
"1029",0,0,3901.51412020476,1,3.18691272314892,3.18691272314892,4.18691272314892,4.18691272314892,"Size=2,D=0.005"
"1030",0,0,2606.76663701663,2,3.29929203104355,2.04494887871667,4.04494887871667,3.29929203104355,"Size=2,D=0.005"
"1034",0,0,3316.83220417307,3,10.002179694433,4.00217969443298,7.00217969443298,9.00217969443298,"Size=2,D=0.005"
"1072",0,3192.50540776308,706.984754664103,3,7.00911616542123,2.00898421982744,5.00898421982744,6.00911616542123,"Size=2,D=0.005"
"1077",0,442.212724564281,1510.5981278918,2,6.02658901617578,4.02658901617578,6.02658901617578,6.02658901617578,"Size=2,D=0.005"
"1085",0,0,1740.56074871183,1,3.00012868784633,3.00012868784633,4.00012868784633,4.00012868784633,"Size=2,D=0.005"
"1091",0,0,2801.99583743289,1,4.00020317933571,4.00020317933571,5.00020317933571,5.00020317933571,"Size=2,D=0.005"
"1100",0,0,3290.10838137186,1,2.00313408431038,2.00313408431038,3.00313408431038,3.00313408431038,"Size=2,D=0.005"
"1104",0,0,788.929250099637,2,8.0885209553416,6.0885209553416,8.0885209553416,8.0885209553416,"Size=2,D=0.005"
"1116",0,3986.17571190559,990.652652377267,2,6.04059595565294,4.04059595565294,6.04059595565294,6.04059595565294,"Size=2,D=0.005"
"1118",0,0,2061.854173178,1,4.00000224832715,4.00000224832715,5.00000224832715,5.00000224832715,"Size=2,D=0.005"
"1121",0,0,2026.61380973324,1,3.02314976545281,3.02314976545281,4.02314976545281,4.02314976545281,"Size=2,D=0.005"
"1128",0,0,2509.21959703182,1,2.01029531501361,2.01029531501361,3.01029531501361,3.01029531501361,"Size=2,D=0.005"
"1138",0,0,2194.27829398694,2,4.01959284164641,2.01959284164641,4.01959284164641,4.01959284164641,"Size=2,D=0.005"
"1142",0,1819.19710463268,2833.39389906455,1,2.06615440823601,2.06615440823601,3.06615440823601,3.06615440823601,"Size=2,D=0.005"
"1143",0,2322.69187038381,1749.71826991707,1,2.17567021297203,2.17567021297203,3.17567021297203,3.17567021297203,"Size=2,D=0.005"
"1167",0,0,2312.10968964463,3,8.001141642423,2.001141642423,5.001141642423,7.001141642423,"Size=2,D=0.005"
"1168",0,83.0854085985291,947.464811778001,2,4.34953060808816,2.34953060808816,4.34953060808816,4.34953060808816,"Size=2,D=0.005"
"1169",0,819.035246213825,2343.08334151451,4,7.08671682978739,1.00000002647943,5.00000002647943,5.08671682978739,"Size=2,D=0.005"
"1182",0,0,1617.14495212038,2,6.005994135569,4.005994135569,6.005994135569,6.005994135569,"Size=2,D=0.005"
"1201",0,0,2811.42635403093,2,6.00065870825333,4.00065870825333,6.00065870825333,6.00065870825333,"Size=2,D=0.005"
"1219",0,987.094411494602,1795.99940015465,3,9.01798891979146,3.01798891979146,6.01798891979146,8.01798891979146,"Size=2,D=0.005"
"1228",0,0,3030.26631333235,1,3.0337590732101,3.0337590732101,4.0337590732101,4.0337590732101,"Size=2,D=0.005"
"1236",0,0,1520.27741971844,1,3.02520246980787,3.02520246980787,4.02520246980787,4.02520246980787,"Size=2,D=0.005"
"1264",0,0,1462.5346844758,2,7.02967423504891,5.02967423504891,7.02967423504891,7.02967423504891,"Size=2,D=0.005"
"1274",0,0,903.648519741171,2,4.08592020820219,2.08592020820219,4.08592020820219,4.08592020820219,"Size=2,D=0.005"
"1281",0,0,2441.30876198458,1,2.1242052519439,2.1242052519439,3.1242052519439,3.1242052519439,"Size=2,D=0.005"
"1304",0,1707.85929373205,4532.24118629804,3,11.0524614081003,5.0524614081003,8.0524614081003,10.0524614081003,"Size=2,D=0.005"
"1383",0,0,2361.96198638948,1,3.00273936501165,3.00273936501165,4.00273936501165,4.00273936501165,"Size=2,D=0.005"
"1393",0,0,1199.51100811481,1,2.01608700208758,2.01608700208758,3.01608700208758,3.01608700208758,"Size=2,D=0.005"
"1394",0,0,1457.21623811853,1,4.00911539012701,4.00911539012701,5.00911539012701,5.00911539012701,"Size=2,D=0.005"
"1397",0,0,1408.83845866936,2,5.00183717167321,3.00183717167321,5.00183717167321,5.00183717167321,"Size=2,D=0.005"
"1414",0,0,3996.30939824953,1,3.00000027846381,3.00000027846381,4.00000027846381,4.00000027846381,"Size=2,D=0.005"
