"simid","intervention","ida_per_contact","pia_per_contact","ida_random","pia_random","ida_diff","pia_diff","ida_ratio","pia_ratio","ida_pct_change","pia_pct_change"
7780,"network",101.46881235154,0.04,602.718295432288,0.25,-501.249483080748,-0.21,0.168351969934417,0.16,-83.1648030065583,-84
7781,"network",49.6227882770818,0,0,0,49.6227882770818,0,NA,NA,NA,NA
7785,"network",213.592078030944,0,325.037766240148,0,-111.445688209203,0,0.657130032924039,NA,-34.2869967075961,NA
7786,"network",0,0.05,181.333163677717,0.05,-181.333163677717,0,0,1,-100,0
7798,"network",77.5608190494573,0,120.426691090925,0,-42.8658720414674,0,0.644050071847421,NA,-35.5949928152578,NA
7801,"network",174.057008515998,0.00416666666666667,803.093695399709,0,-629.036686883711,0.00416666666666667,0.216733127794469,NA,-78.3266872205531,NA
7810,"network",107.525333487576,0,0,0,107.525333487576,0,NA,NA,NA,NA
7811,"network",93.1936250760659,0,63.1358497185736,0,30.0577753574922,0,1.47608095070351,NA,47.6080950703506,NA
7812,"network",106.59548330701,0,25.2734417237316,0,81.3220415832783,0,4.21768766091392,NA,321.768766091392,NA
7813,"network",159.261467159999,0,125.271244842841,0,33.9902223171582,0,1.27133299712796,NA,27.1332997127957,NA
7819,"network",24.4774548858888,0,24.4774548858888,0,0,0,1,NA,0,NA
7822,"network",89.1169153397414,0.00718954248366013,386.381239916336,0,-297.264324576595,0.00718954248366013,0.230645036904582,NA,-76.9354963095418,NA
7829,"network",0,0.0333333333333333,595.14013230649,0,-595.14013230649,0.0333333333333333,0,NA,-100,NA
7834,"network",121.085691271803,0,139.75043018395,0,-18.6647389121469,0,0.866442350928158,NA,-13.3557649071842,NA
7839,"network",88.2292849036589,0.04,0,0,88.2292849036589,0.04,NA,NA,NA,NA
7843,"network",15.9030928971889,0,31.8061857943778,0,-15.9030928971889,0,0.5,NA,-50,NA
7844,"network",67.8189879573536,0.00554016620498615,220.998027959335,0,-153.179040001982,0.00554016620498615,0.306875987010312,NA,-69.3124012989688,NA
7846,"network",58.9755928239374,0.0102040816326531,14.253523900852,0,44.7220689230854,0.0102040816326531,4.1376148967914,NA,313.76148967914,NA
7851,"network",103.494436046525,0.0185185185185185,0,0,103.494436046525,0.0185185185185185,NA,NA,NA,NA
7857,"network",58.8228885740341,0,45.2267910082116,0,13.5960975658225,0,1.30062043454186,NA,30.062043454186,NA
7868,"network",96.3861705963321,0.00840336134453781,80.6211919305618,0,15.7649786657703,0.00840336134453781,1.19554385501207,NA,19.5543855012073,NA
7874,"network",76.8395466673581,0,829.781968155449,0.125,-752.942421488091,-0.125,0.0926020926173744,0,-90.7397907382626,-100
7879,"network",134.786119130669,0,0,0,134.786119130669,0,NA,NA,NA,NA
7881,"network",0,0,91.3683890508833,0,-91.3683890508833,0,0,NA,-100,NA
7882,"network",135.319813620252,0,213.232115604568,0,-77.912301984316,0,0.634612723494232,NA,-36.5387276505768,NA
7884,"network",186.703253415511,0,0,0,186.703253415511,0,NA,NA,NA,NA
7898,"network",44.729013760523,0,0,0,44.729013760523,0,NA,NA,NA,NA
7901,"network",48.7265504628482,0,120.740080551921,0,-72.0135300890727,0,0.403565661378656,NA,-59.6434338621344,NA
7902,"network",145.161953520973,0.0104166666666667,89.5924340674963,0,55.5695194534772,0.0104166666666667,1.62024790409883,NA,62.024790409883,NA
7903,"network",53.6313868929198,0,0,0,53.6313868929198,0,NA,NA,NA,NA
7906,"network",117.065693692171,0,5.86299685152121,0,111.20269684065,0,19.9668696158001,NA,1896.68696158001,NA
7915,"network",179.099179442284,0.00595238095238095,47.4652017877288,0,131.633977654556,0.00595238095238095,3.7732733180666,NA,277.32733180666,NA
7917,"network",161.676114405575,0,0,0,161.676114405575,0,NA,NA,NA,NA
7919,"network",118.212292362668,0,927.818413928267,0,-809.606121565599,0,0.127408866420502,NA,-87.2591133579498,NA
7926,"network",75.7715274106834,0,77.3251928172785,0,-1.5536654065951,0,0.979907383997523,NA,-2.00926160024774,NA
7933,"network",98.6567226162138,0,98.7888621344636,0,-0.132139518249744,0,0.998662404694267,NA,-0.133759530573281,NA
7934,"network",93.9262560744022,0,169.11350459152,0,-75.1872485171178,0,0.555403640302254,NA,-44.4596359697746,NA
