donor,recipient,distance,timetransmission,contacttype,simid
0.1,0.1.1,0.002,876.3425938381237,G,93
,,,,,94
,,,,,95
0,0.1,0.008,25.354344070943846,G,96
0,0.2,0.01,329.3536547100854,G,96
0,0.3,0.006,1492.2182589581084,G,96
0.1,0.1.1,Inf,83.29348466176884,G,96
0.1,0.1.2,0.011,753.4317887387117,F,96
0.2,0.2.1,0.009,483.50780865493067,F,96
0.2,0.2.2,0.009,968.6022983607241,G,96
0.3,0.3.1,0.009,1529.266799625682,F,96
0.3,0.3.2,0.003,1592.4273503835393,G,96
0.3,0.3.3,0.003,1618.8299228416158,G,96
0.3,0.3.4,0.001,1675.487177165254,G,96
0.1.1,0.1.1.1,Inf,282.6652508154987,G,96
0.1.1,0.1.1.2,Inf,347.0537983227891,G,96
0.2.1,0.2.1.1,0.011,755.877528684719,F,96
0.2.1,0.2.1.2,0.001,2230.831504009507,F,96
0.3.1,0.3.1.1,0.01,1534.2569038016798,G,96
0.3.1,0.3.1.2,0.008,1707.8413374800343,F,96
0.3.1,0.3.1.3,0.008,1810.9386268898536,F,96
0.3.2,0.3.2.1,0.005,2522.0822265998418,F,96
0.3.3,0.3.3.1,0.0,2104.0915544675886,G,96
0.1.1.2,0.1.1.2.1,0.01,898.9590543969862,G,96
0.2.1.1,0.2.1.1.1,0.003,1312.660950370411,F,96
0.2.1.1,0.2.1.1.2,0.006,2248.4230508877226,F,96
0.2.1.1,0.2.1.1.3,0.016,2515.5819175556067,F,96
0.2.1.2,0.2.1.2.1,0.005,2267.164638983738,G,96
0.3.1.1,0.3.1.1.1,0.008,1879.9406944439295,G,96
0.3.1.1,0.3.1.1.2,0.0,2038.383868078157,G,96
0.3.2.1,0.3.2.1.1,0.016,2799.1547160638743,F,96
0.3.3.1,0.3.3.1.1,0.004,2167.243017787146,F,96
0,0.1,0.007,58.77864455672133,G,97
0,0.2,0.003,93.66734142436334,F,97
0,0.3,0.003,688.4795328703391,G,97
0,0.4,0.008,1951.1225693696983,F,97
0,0.5,0.0,2060.7669808826377,F,97
0.2,0.2.1,Inf,464.81426013084206,F,97
0.2,0.2.2,0.008,922.462028348214,F,97
0.5,0.5.1,0.002,2183.1219274445684,G,97
0.5,0.5.2,0.004,2441.856697725847,G,97
0.2.1,0.2.1.1,Inf,915.6916275568725,H,97
0.2.2,0.2.2.1,0.001,1026.9894999698888,G,97
0.2.2,0.2.2.2,0.007,1171.7660777332615,G,97
0.5.1,0.5.1.1,0.003,2770.263908045055,G,97
0.2.1.1,0.2.1.1.1,Inf,1009.1880091340163,H,97
0.5.1.1,0.5.1.1.1,0.003,3122.101675293924,G,97
0.5.1.1,0.5.1.1.2,0.002,3178.4755026198477,G,97
,,,,,98
,,,,,99
,,,,,100
