donor,recipient,distance,timetransmission,contacttype,simid
0.1.1,0.1.1.2,0.0,3376.6364131213804,G,64
0.1.1.1,0.1.1.1.1,0.006,1353.2518767307683,F,64
0.1.1.1,0.1.1.1.2,0.005,1430.4054778542054,G,64
0.1.1.1,0.1.1.1.3,0.003,3008.8618086008423,F,64
0.1.1.1.1,0.1.1.1.1.1,0.003,1354.5575756807027,G,64
0.1.1.1.1,0.1.1.1.1.2,0.002,1429.4248079479003,G,64
0.1.1.1.2,0.1.1.1.2.1,0.008,1492.276000323129,H,64
0.1.1.1.2,0.1.1.1.2.2,0.013,2588.8991207283852,G,64
0.1.1.1.2,0.1.1.1.2.3,0.0,2596.884896534343,G,64
0.1.1.1.1.2,0.1.1.1.1.2.1,0.0,1892.4383842834516,G,64
0.1.1.1.2.1,0.1.1.1.2.1.1,0.0,1749.021444109544,F,64
0.1.1.1.2.2,0.1.1.1.2.2.1,0.005,2728.9755594899934,G,64
0.1.1.1.2.2,0.1.1.1.2.2.2,0.002,3517.213975111452,G,64
0,0.1,0.005,260.1889262757454,G,65
0.1,0.1.1,0.009,719.023287825667,G,65
0.1,0.1.2,0.011,921.0470833225161,F,65
0.1,0.1.3,0.0,2131.827447981614,F,65
0.1.2,0.1.2.1,0.006,993.8225999640035,G,65
0.1.2,0.1.2.2,0.014,1694.1557442186322,F,65
0.1.2,0.1.2.3,0.011,3455.611685857059,G,65
0.1.2.1,0.1.2.1.1,0.003,1411.790383246298,G,65
0.1.2.3,0.1.2.3.1,0.007,3664.992487512002,G,65
0.1.2.3.1,0.1.2.3.1.1,Inf,4834.765244931661,F,65
0.1.2.3.1.1,0.1.2.3.1.1.1,Inf,4914.6177257408735,F,65
0.1.2.3.1.1,0.1.2.3.1.1.2,Inf,5226.526763763212,G,65
0.1.2.3.1.1,0.1.2.3.1.1.3,Inf,6382.866352498933,G,65
0,0.1,Inf,520.3774224288564,G,66
0.1,0.1.1,Inf,1528.1844349050673,G,66
0.1,0.1.2,Inf,2063.2367760184975,G,66
0.1.1,0.1.1.1,0.006,2213.7315149908395,G,66
0.1.1,0.1.1.2,0.006,2230.3825657855023,G,66
0.1.2,0.1.2.1,0.004,3039.961621390919,G,66
0.1.1.2,0.1.1.2.1,0.007,3735.425225007457,G,66
0,0.1,0.005,176.09380290925688,G,67
0.1,0.1.1,0.001,1296.4652790607431,F,67
0,0.1,0.009,110.222364106889,F,68
0,0.2,0.001,832.7373726583282,H,68
0,0.3,0.0,1287.8893407963797,F,68
0.1,0.1.1,0.011,223.1932674988305,F,68
0.1,0.1.2,0.014,259.16586539169333,F,68
0.1.1,0.1.1.1,0.002,880.9182652131532,F,68
0.1.1,0.1.1.2,Inf,1216.4903315911924,F,68
0.1.2,0.1.2.1,0.004,1163.5862219424484,F,68
0.1.1.1,0.1.1.1.1,0.007,892.4106010285766,F,68
0.1.1.1,0.1.1.1.2,0.007,2148.772901753594,G,68
0.1.1.1.1,0.1.1.1.1.1,0.008,907.270034052342,G,68
0.1.1.1.1,0.1.1.1.1.2,0.004,1203.9195564861282,G,68
0.1.1.1.1,0.1.1.1.1.3,0.006,1572.8966330707715,G,68
0.1.1.1.1,0.1.1.1.1.4,0.005,1775.2687476257504,F,68
0.1.1.1.2,0.1.1.1.2.1,0.002,3028.7615628446674,G,68
0.1.1.1.2,0.1.1.1.2.2,0.003,3099.2016920927745,G,68
0.1.1.1.1.1,0.1.1.1.1.1.1,0.0,1629.409592587273,G,68
0.1.1.1.1.4,0.1.1.1.1.4.1,0.011,2399.1675132737714,F,68
0.1.1.1.2.2,0.1.1.1.2.2.1,0.009,3518.375921462489,G,68
0.1.1.1.2.2,0.1.1.1.2.2.2,0.004,3838.6154873421087,G,68
0,0.1,0.006,248.93894987944867,G,72
0,0.2,0.002,1048.3231324487692,G,72
0.2,0.2.1,0.009,1436.3017230862476,G,72
