pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0.1.1.3.1,4079.605712111673,4043.144496953502,3240.8195235132343,4,1,3,9.181359437708494e-7,15
0.1.1.3.2,3467.618201893333,3464.5317179451463,3326.179597167222,4,0,3,0.007105777745733166,15
0.1.1.3.3,5254.38870291547,5252.156953064186,3809.0640989463313,4,0,1,0.00011917212803132648,15
0.2.1.2.1,4217.6880035286285,4217.392222881772,3814.824880641568,4,1,2,0.0222458009556331,15
0.2.1.2.2,7060.731010921384,7057.7763876095805,4095.178273833826,4,1,2,0.03522953447775923,15
0.2.1.2.3,4404.748773521165,4382.1167255282035,4122.511739399505,4,1,1,0.0008549321111281543,15
0,828.7603539782801,816.1493652934615,0.0,0,0,1,0.04953724699903042,16
0.1,1911.0360920668636,1907.0155050766025,1247.1190030644498,1,1,3,0.005149663615037996,16
0,253.15930489196143,252.34673956777218,0.0,0,1,1,0.006979354868415802,17
0,1335.071523448202,1333.2166869730972,0.0,0,1,3,0.01621191764446974,18
0.1,1011.9385449813296,971.5337194482049,337.46093237576224,1,0,3,0.007678924913956118,18
0.1.1,2239.1169178899177,2220.263668381348,713.1916256570387,2,0,3,0.07701343441761077,18
0,2179.176293735617,2166.4482172206067,0.0,0,0,2,0.0003485568036979453,19
0.1,2569.116603572102,2566.974298033776,62.96201625916148,1,0,1,0.013277813940406237,19
0.2,2094.880731366711,2056.2927638310507,720.6238876302667,1,1,2,2.2370233332669274e-7,19
0.1.1,2933.541260946277,2903.660837726564,141.8062497117139,2,0,2,0.04589132171764977,19
0.2.1,2073.9347600424653,2065.9225596387096,1040.1714475304057,2,1,0,0.0003495187479046845,19
0,Inf,1832.8764177197384,0.0,0,1,1,3.3664404323127945e-5,20
0.1,2558.353676650969,2529.716469552009,73.4254745038932,1,1,3,0.00011098047591646902,20
0.1.1,2003.3600725886756,1992.8186611483463,1748.78031553646,2,2,2,0.0019194575623799968,20
0.1.1.1,2244.2422698525547,2230.302864758959,1907.939858126231,3,1,2,0.017684168684352734,20
0.1.1.1.1,3465.0329151717046,3454.889506451861,2071.527238127613,4,1,2,0.0016971962346836325,20
0,44.59577466402128,3.6163316045486025,0.0,0,1,1,8.158319106096836e-6,21
0,805.5726723326627,804.8493309621351,0.0,0,1,1,0.0002186512342688238,22
0.1,628.7427936608309,619.9518330289131,134.44969993426773,1,1,0,0.001181817092986782,22
0,511.7612000112007,397.025130401169,0.0,0,0,2,5.6413969811270993e-5,23
0,369.06752863812045,368.06892550225666,0.0,0,1,1,0.006465495606775308,24
0,80.68858620143588,58.81561182059623,0.0,0,1,3,0.014271213642084555,25
0,1098.4281248897234,1088.6805554317534,0.0,0,0,1,3.111976718898622e-7,26
0,484.8058740324028,473.20788278648547,0.0,0,0,3,0.023201634733862008,27
0.1,1561.822917848394,1472.0192644183235,190.94496441907364,1,0,1,0.01553562617581733,27
0.1.1,2102.181940599863,2101.5701434899793,1194.150990187873,2,0,3,2.9602343065220026e-5,27
0,1481.599634212441,1418.465211849662,0.0,0,1,2,5.6420333145461e-9,28
0.1,294.47789640260885,243.23219287078527,162.37939171403892,1,1,0,0.017797140507213212,28
0.2,2391.408638117865,2382.2271835366682,1074.766524424622,1,0,3,7.037298848827129e-7,28
0,497.96168373015644,485.0809704428416,0.0,0,1,3,0.021480678821738663,29
0,604.2320726052113,583.8462185252691,0.0,0,0,3,0.11997010812507837,30
0.1,3449.792539848069,3443.710810983412,4.672628344649548,1,0,1,0.0008317471570790942,30
0.2,1956.206066998212,1928.3317384706274,29.24169925326675,1,0,3,1.6891791428389395e-5,30
0.3,3384.027694278506,3317.5628118841287,1012.8873843729259,1,1,0,0.14512421358795097,30
0.2.1,907.3958715572489,905.1228348511718,652.5925532900626,2,0,3,0.2724807516895281,30
0.2.2,4903.86156977643,4901.6976854148415,1075.7521422993357,2,1,2,0.004788124925777349,30
0.3.1,2977.9351969015825,2953.3489135110676,2884.0961291592266,2,1,2,0.15702108608305507,30
0.2.1.1,1429.25561057166,1383.3952453795487,814.4422444634897,3,0,1,0.0011012655154509588,30
0.2.1.2,1392.7806879330276,1353.3982110855632,1278.3181794200584,3,0,1,9.71769286875969e-6,30
0.2.2.1,2396.603891100716,2353.151665630433,1925.7606321705975,3,1,2,0.0009572483219606584,30
0.2.2.2,3724.003939871481,3719.3404850990833,2676.7233768055603,3,0,3,1.2234890393569386e-6,30
0.2.2.3,4252.857311698917,4222.352202098525,3649.9643772680797,3,0,1,0.00022175965704016693,30
0.2.2.4,4775.943485556623,4775.384570096971,4517.972461849933,3,1,0,0.03204616736911382,30
0.3.1.1,4015.932588427708,3963.7803862849155,3043.0387363054733,3,1,1,0.006629803756394907,30
0.3.1.2,3103.423749494462,3092.4275963073715,3059.360824660724,3,0,1,8.765814749238288e-10,30
0.2.1.1.1,2672.369672722514,2667.6589095838617,1240.578637967663,4,1,1,0.0006826304784784829,30
