pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0.3,918.4327160475286,883.4640370432611,791.8215305609339,1,0,3,0.20752328142078538,9
0.4,2801.379569608041,2786.5479925507802,1126.9346952531748,1,1,3,0.003480000562001032,9
0.1.1,3411.504996700422,3392.606701836502,1847.0018823520893,2,0,2,0.0011651638899228213,9
0.4.1,1653.9133230486375,1628.2719234874166,1563.2026695306395,2,1,0,0.025003967193338448,9
0.4.2,2593.4930766500593,2591.9303351763847,1589.738380828813,2,1,1,6.943041796650448e-11,9
0.4.2.1,2196.2156529852336,2175.1448659044286,1598.825034353715,3,1,1,0.004291256806361901,9
0,1704.75486073403,1691.7992874800198,0.0,0,0,3,0.0004788060563362384,10
0,446.012962214334,408.4687793568827,0.0,0,0,3,0.05510603893004412,11
0,3921.406112542971,3788.138221743574,0.0,0,0,1,0.030044374553505174,12
0.1,447.4547346260379,408.9598682292687,365.03936803350945,1,0,2,0.011216169271571551,12
0,1727.0602425300378,1648.3660645809991,0.0,0,0,1,0.0032793689373902066,13
0,883.0893450258003,881.4853781639338,0.0,0,0,1,2.3014349450550826e-5,14
0,1855.9263274182144,1806.4366009814994,0.0,0,1,2,0.00048336023000709877,15
0.1,429.24104576683214,405.83223761196734,59.61319963207496,1,1,2,0.11091264748427113,15
0.2,910.6139955715922,895.2299352538811,409.3766779654871,1,0,3,0.006878931526442422,15
0.3,2849.416923812403,2762.309900072556,484.98069420948116,1,1,1,0.00019564336387645431,15
0.4,2349.20827613276,2313.93832873393,987.2786300589728,1,0,3,0.0031515191305769336,15
0.5,1139.1375202295314,1127.0604598749483,1097.4749740533846,1,1,1,6.514559373216033e-6,15
0.6,2074.6318527346984,2002.6926755609143,1702.6924922060666,1,1,0,0.00046341504175844035,15
0.7,2873.066214173804,2863.9470958062334,1772.7285403639548,1,0,1,0.0009576362556410044,15
0.2.1,446.11957418441574,444.99374756182596,443.3397031231323,2,1,1,0.020148826215232517,15
0.2.2,Inf,1955.9606282928398,1053.6924349876479,2,1,1,0.17227991361520686,15
0.3.1,1906.9228723549586,1734.9826708094556,519.5728165070022,2,1,3,0.016527270994004615,15
0.3.2,4015.3643761640424,4002.184710233752,2498.5834043239156,2,0,2,0.0017174403202412803,15
0.4.1,2262.8199457143473,2257.450846609248,1909.9182641641687,2,1,2,0.2407122563188607,15
0.3.1.1,932.1334010592245,900.1856460416034,623.9137789380361,3,1,2,0.012502873360419066,15
0.3.1.2,1618.8831308125261,1604.4286293545108,796.2108156762852,3,1,3,0.025431955922000146,15
0.3.1.3,2177.4591929135204,2176.8002096578803,1307.1635804817709,3,0,3,3.2179645070510734e-9,15
0.3.2.1,3458.5886928439927,3451.730492038624,2642.9732212405993,3,1,1,0.1391733591085045,15
0.3.1.2.1,1070.5697323094928,1066.3003015001761,844.2476019100918,4,1,0,0.009649623605725046,15
0.3.1.2.2,2915.0002407874963,2902.3647450110043,1077.136221854001,4,1,3,0.011948051823054421,15
0.3.1.3.1,2127.5428168701133,2124.538290401505,1545.0676629545337,4,1,2,0.037032297571291437,15
0,2177.1085379606257,2173.329978506755,0.0,0,0,2,0.00030374520453003095,16
0.1,804.9647393291425,775.2596452117364,76.86922497395115,1,0,1,0.0011582802560713976,16
0.2,Inf,1363.1546958112956,516.1972194771324,1,1,1,1.434380152064147e-9,16
0,1460.5998767790447,1459.2822374223433,0.0,0,1,3,0.011385172220496337,17
0.1,694.4207972379177,629.585013631397,46.14029220946447,1,1,2,0.02163515554239618,17
0.2,215.41624895285713,201.7371674421468,187.29386493682657,1,1,2,0.0004031652350956135,17
0.3,461.4245380242332,458.8308431339744,299.2742772912554,1,0,1,0.08932056694754019,17
0.4,1698.6882861210001,1684.3588095432847,384.89297359747917,1,0,2,5.838906841615416e-7,17
0.5,632.6264492154661,628.6839910302831,393.1412801993458,1,1,1,0.10918166726613107,17
0.6,3509.8319467076017,3490.7266726249372,717.3167474116904,1,2,0,0.06545398064003313,17
0.4.1,581.9718742567738,521.6650181986099,466.08476893690033,2,0,3,1.1678263704931742e-5,17
0.4.2,2130.8282469721903,2098.8530770325888,663.8632599540781,2,1,3,0.003915054006770697,17
0.5.1,3446.5601821158743,3431.5052419332706,507.8352475116209,2,0,0,0.0720397383998942,17
0.6.1,3445.666975456049,3416.9277362980997,2533.277745715949,2,1,3,0.04911370271504182,17
0.4.2.1,1420.8617140916397,1408.7497891452106,1110.5682924385376,3,2,3,0.0008058577792730192,17
0.4.2.2,2544.1750917242002,2532.817052130953,1259.6070863705822,3,2,3,0.0006372663325192598,17
0.5.1.1,725.7801928688532,719.6496770140874,508.08955420048005,3,1,0,0.12053910306959897,17
0.5.1.2,Inf,6136.981691263477,950.4286118541083,3,1,0,0.06608752331348355,17
0.6.1.1,4245.338761016143,4205.739031055558,3368.893770716996,3,1,0,1.3832682948175808e-5,17
0.6.1.2,4822.748937013376,4814.508610075331,3403.3868323821825,3,0,1,3.3315690637400935e-5,17
